实际值	预测值
1	0.9998093
1	1.1437384
1	1.120221
1	0.97643805
1	1.1307482
1	1.0091547
1	1.0015675
1	1.000066
1	1.0025022
1	0.99694824
1	1.1554552
1	1.1605582
1	1.094932
1	0.9882872
1	0.9957909
1	1.0018897
1	0.995185
1	1.0010679
1	1.1954598
1	0.99885917
1	1.0211464
1	0.99853
1	1.0307448
1	1.0065159
1	1.0155514
1	0.9997007
1	1.0007253
1	0.96436155
1	0.9971015
1	1.0142798
1	1.0805365
1	0.99715173
1	0.9929196
1	1.0047466
1	0.99115205
1	1.1002663
1	1.1737596
1	1.0013664
1	1.1257465
1	0.99865997
1	1.0009873
1	1.0003484
1	1.0018511
1	0.9943172
1	0.9704363
2	1.329604
1	1.0003762
1	1.0132838
1	1.0007231
1	1.019835
1	0.99640363
1	1.0511495
1	0.99990207
1	1.0093335
1	1.0021838
1	1.0000117
1	1.0507758
1	1.0000249
2	1.3819624
1	0.99536043
1	0.99907696
1	0.9958145
1	0.98114645
1	0.9994509
